"DBA","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE"
"bar italia","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",27,"B","09/11/2018"
"bar italia","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",27,"B","09/11/2018"
"bar italia","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",27,"B","09/11/2018"
"la loteria","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",8,"A","09/12/2018"
"la loteria","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",8,"A","09/12/2018"
"delmonico's kitchen","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",7,"A","09/17/2018"
"empire steak house","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",12,"A","09/17/2018"
"empire steak house","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",12,"A","09/17/2018"
"delmonico's kitchen","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",7,"A","09/17/2018"
"periyali","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",10,"A","09/18/2018"
"periyali","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",10,"A","09/18/2018"
"el toro blanco","Accurate thermometer not provided in refrigerated or hot holding equipment.","N",12,"A","09/19/2018"
"el toro blanco","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.","Y",12,"A","09/19/2018"
"el toro blanco","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","09/19/2018"
"baar baar","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",12,"A","09/20/2018"
"baar baar","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","09/20/2018"
"inakaya","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","09/25/2018"
"inakaya","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",11,"A","09/25/2018"
"bar primi","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",2,"A","09/26/2018"
"toloache","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",5,"A","09/26/2018"
"becco","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",10,"A","09/27/2018"
"blenheim","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","09/27/2018"
"blenheim","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","09/27/2018"
"blenheim","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",12,"A","09/27/2018"
"nix","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","09/28/2018"
"nix","Hot food item not held at or above 140o F.","Y",12,"A","09/28/2018"
"toloache","Hot food item not held at or above 140o F.","Y",12,"A","09/29/2018"
"toloache","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",12,"A","09/29/2018"
"chez josephine","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",27,"B","10/01/2018"
"chez josephine","Thawing procedures improper.","N",27,"B","10/01/2018"
"chez josephine","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",27,"B","10/01/2018"
"chez josephine","Hot food item not held at or above 140o F.","Y",27,"B","10/01/2018"
"chez josephine","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",27,"B","10/01/2018"
"gran morsi","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","10/02/2018"
"gran morsi","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",12,"A","10/02/2018"
"tao downtown","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",13,"A","10/04/2018"
"tao downtown","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",13,"A","10/04/2018"
"rice & gold","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",10,"A","10/05/2018"
"rice & gold","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",10,"A","10/05/2018"
"obao","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",15,"B","10/09/2018"
"obao","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",15,"B","10/09/2018"
"obao","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",15,"B","10/09/2018"
"le coq rico","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",13,"A","10/10/2018"
"le coq rico","Proper sanitization not provided for utensil ware washing operation.","N",13,"A","10/10/2018"
"le coq rico","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",13,"A","10/10/2018"
"suzuki","Canned food product observed dented and not segregated from other consumable food items.","N",6,"A","10/12/2018"
"suzuki","Proper sanitization not provided for utensil ware washing operation.","N",6,"A","10/12/2018"
"suzuki","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",6,"A","10/12/2018"
"high street on hudson","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",5,"A","10/19/2018"
"meet the meat","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","10/19/2018"
"high street on hudson","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",5,"A","10/19/2018"
"meet the meat","Toxic chemical improperly labeled, stored or used such that food contamination may occur.","Y",12,"A","10/19/2018"
"kellari taverna","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",19,"B","10/23/2018"
"kellari taverna","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",19,"B","10/23/2018"
"kellari taverna","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",19,"B","10/23/2018"
"taboon","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","10/24/2018"
"taboon","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",13,"A","10/24/2018"
"taboon","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",13,"A","10/24/2018"
"cafe d'alsace","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","11/01/2018"
"cafe d'alsace","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","11/01/2018"
"cafe d'alsace","Wiping cloths soiled or not stored in sanitizing solution.","Y",12,"A","11/01/2018"
"barbounia","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",13,"A","11/05/2018"
"barbounia","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",13,"A","11/05/2018"
"barbounia","Live roaches present in facility's food and/or non-food areas.","Y",13,"A","11/05/2018"
"scampi","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",2,"A","11/05/2018"
"barbounia","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","11/05/2018"
"molyvos","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",13,"A","11/07/2018"
"molyvos","Live roaches present in facility's food and/or non-food areas.","Y",13,"A","11/07/2018"
"molyvos","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",13,"A","11/07/2018"
"ammos estiatorio","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",13,"A","11/08/2018"
"ammos estiatorio","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",13,"A","11/08/2018"
"barano","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",11,"A","11/08/2018"
"barano","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",11,"A","11/08/2018"
"scarpetta","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",24,"B","11/23/2018"
"aureole","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",6,"A","11/23/2018"
"aureole","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",6,"A","11/23/2018"
"scarpetta","Food not cooled by an approved method whereby the internal product temperature is reduced from 140o F to 70o F or less within 2 hours, and from 70o F to 41o F or less within 4 additional hours.","Y",24,"B","11/23/2018"
"scarpetta","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",24,"B","11/23/2018"
"hanjan","Accurate thermometer not provided in refrigerated or hot holding equipment.","N",7,"A","11/26/2018"
"almond","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",9,"A","11/26/2018"
"ai fiori","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","Y",9,"A","11/26/2018"
"almond","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",9,"A","11/26/2018"
"ai fiori","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.","N",9,"A","11/26/2018"
"ai fiori","Accurate thermometer not provided in refrigerated or hot holding equipment.","N",9,"A","11/26/2018"
"hanjan","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",7,"A","11/26/2018"
"mifune new york","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",10,"A","11/27/2018"
"mifune new york","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",10,"A","11/27/2018"
"lexington brass","Food contact surface not properly maintained.","N",11,"A","12/03/2018"
"lexington brass","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",11,"A","12/03/2018"
"lexington brass","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","N",11,"A","12/03/2018"
"lido","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.","N",12,"A","12/06/2018"
"brasserie seoul","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","Y",12,"A","12/06/2018"
"brasserie seoul","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",12,"A","12/06/2018"
"lido","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",12,"A","12/06/2018"
"lido","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",12,"A","12/06/2018"
"rafele","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",12,"A","12/11/2018"
"rafele","Canned food product observed dented and not segregated from other consumable food items.","N",12,"A","12/11/2018"
"anassa taverna","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",11,"A","12/11/2018"
"rafele","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",12,"A","12/11/2018"
"anassa taverna","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","12/11/2018"
"rafele","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",12,"A","12/11/2018"
"toloache","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","12/12/2018"
"toloache","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",11,"A","12/12/2018"
"toloache","Single service item reused, improperly stored, dispensed; not used when required.","N",11,"A","12/12/2018"
"toloache","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",11,"A","12/12/2018"
"tuome","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",12,"A","12/19/2018"
"tuome","Food not cooled by an approved method whereby the internal product temperature is reduced from 140o F to 70o F or less within 2 hours, and from 70o F to 41o F or less within 4 additional hours.","Y",12,"A","12/19/2018"
"la masseria","Hot food item not held at or above 140o F.","Y",12,"A","01/02/2019"
"la masseria","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",12,"A","01/02/2019"
"vaucluse","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",13,"A","01/07/2019"
"vaucluse","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",13,"A","01/07/2019"
"root & bone","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",5,"A","01/07/2019"
"vaucluse","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","01/07/2019"
"bodega negra","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","01/08/2019"
"bodega negra","Food not cooled by an approved method whereby the internal product temperature is reduced from 140o F to 70o F or less within 2 hours, and from 70o F to 41o F or less within 4 additional hours.","Y",11,"A","01/08/2019"
"bodega negra","Food contact surface not properly maintained.","N",11,"A","01/08/2019"
"brasserie 8 1/2","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","01/09/2019"
"brasserie 8 1/2","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",11,"A","01/09/2019"
"morrell wine bar & cafe","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",7,"A","01/09/2019"
"morrell wine bar & cafe","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",7,"A","01/09/2019"
"brasserie 8 1/2","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",11,"A","01/09/2019"
"massoni","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",7,"A","01/11/2019"
"state grill and bar","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",8,"A","01/11/2019"
"state grill and bar","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",8,"A","01/11/2019"
"perrine","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","01/14/2019"
"perrine","Food contact surface not properly maintained.","N",12,"A","01/14/2019"
"perrine","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",12,"A","01/14/2019"
"the wayfarer","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",5,"A","01/14/2019"
"bob's steak & chop house","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",11,"A","01/15/2019"
"bob's steak & chop house","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",11,"A","01/15/2019"
"bob's steak & chop house","Accurate thermometer not provided in refrigerated or hot holding equipment.","N",11,"A","01/15/2019"
"altesi ristorante","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",2,"A","01/15/2019"
"michael's","Thawing procedures improper.","N",9,"A","01/24/2019"
"orsay","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",11,"A","01/24/2019"
"michael's","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.","N",9,"A","01/24/2019"
"orsay","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",11,"A","01/24/2019"
"michael's","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",9,"A","01/24/2019"
"michael's","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","01/24/2019"
"obao","Hot food item not held at or above 140o F.","Y",13,"A","01/28/2019"
"obao","Wiping cloths soiled or not stored in sanitizing solution.","Y",13,"A","01/28/2019"
"riverpark","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","01/29/2019"
"riverpark","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","01/29/2019"
"riverpark","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",13,"A","01/29/2019"
"temple court","Food not cooled by an approved method whereby the internal product temperature is reduced from 140o F to 70o F or less within 2 hours, and from 70o F to 41o F or less within 4 additional hours.","Y",10,"A","01/31/2019"
"temple court","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",10,"A","01/31/2019"
"amma","Hot food item not held at or above 140o F.","Y",13,"A","02/12/2019"
"pig and khao","Hot food item not held at or above 140o F.","Y",41,"C","02/12/2019"
"pig and khao","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",41,"C","02/12/2019"
"pig and khao","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",41,"C","02/12/2019"
"little park","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","02/12/2019"
"amma","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",13,"A","02/12/2019"
"little park","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",9,"A","02/12/2019"
"pig and khao","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.","Y",41,"C","02/12/2019"
"gaonnuri","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",2,"A","02/12/2019"
"pig and khao","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Y",41,"C","02/12/2019"
"pig and khao","Food not cooled by an approved method whereby the internal product temperature is reduced from 140o F to 70o F or less within 2 hours, and from 70o F to 41o F or less within 4 additional hours.","Y",41,"C","02/12/2019"
"little park","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",9,"A","02/12/2019"
"21 club","Food not cooled by an approved method whereby the internal product temperature is reduced from 140o F to 70o F or less within 2 hours, and from 70o F to 41o F or less within 4 additional hours.","Y",12,"A","02/19/2019"
"21 club","Wiping cloths soiled or not stored in sanitizing solution.","Y",12,"A","02/19/2019"
"batard","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Y",12,"A","02/21/2019"
"batard","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",12,"A","02/21/2019"
"il cortile restaurant","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",12,"A","02/21/2019"
"batard","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","02/21/2019"
"il cortile restaurant","Live roaches present in facility's food and/or non-food areas.","Y",12,"A","02/21/2019"
"il cortile restaurant","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.","N",12,"A","02/21/2019"
"benjamin steakhouse prime","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","02/22/2019"
"benjamin steakhouse prime","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","02/22/2019"
"benjamin steakhouse prime","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",12,"A","02/22/2019"
"temple court","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",11,"A","02/25/2019"
"temple court","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",11,"A","02/25/2019"
"tribeca grill","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",4,"A","02/25/2019"
"temple court","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",11,"A","02/25/2019"
"el toro blanco","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.","Y",12,"A","02/26/2019"
"masseria dei vini","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",5,"A","02/26/2019"
"el toro blanco","""""Wash hands<e2><U+0080>?sign not posted at hand wash facility.","N",12,"A","02/26/2019"
"porsena","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",8,"A","03/06/2019"
"porsena","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",8,"A","03/06/2019"
"kingside","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",7,"A","03/07/2019"
"kingside","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Y",7,"A","03/07/2019"
"society cafe","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",9,"A","03/08/2019"
"society cafe","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","03/08/2019"
